,name,surname,salary
0,Mike,Goodman,4500
1,Mike,White,5750
2,Mike,Goodman,4250
3,Henry,Feynman,5250
4,Mike,White,3000
5,Roger,Feynman,3750
6,John,White,5750
7,Xico,Cave,3000
8,Xico,White,4500
9,Mike,Cave,5250
10,Roger,White,3750
11,Mike,Feynman,3750
12,Roger,Goodman,5750
13,Xico,Cave,5750
14,John,Feynman,5750
15,Xico,Feynman,3750
16,Mike,Goodman,4250
17,Roger,Feynman,4500
18,Xico,Goodman,3750
19,Roger,White,4500
20,Henry,Feynman,4500
21,Roger,Feynman,5750
22,Mike,White,5250
23,John,Red,4500
24,Xico,Feynman,5750
25,Xico,Goodman,5250
26,Xico,Feynman,3000
27,Mike,Cave,6750
28,Henry,Red,3750
29,John,Red,5750
30,Xico,Cave,3000
31,Roger,Red,6750
32,Henry,White,4500
33,Xico,Cave,3750
34,Henry,Goodman,4500
35,Henry,Cave,6750
36,Mike,Cave,4250
37,Xico,White,6750
38,Xico,Goodman,5750
39,Xico,Cave,3000
40,Xico,Feynman,3000
41,John,Red,5750
42,Roger,Feynman,3000
43,John,Red,4250
44,Henry,Feynman,4500
45,John,White,5250
46,Mike,White,3000
47,Roger,White,5750
48,Mike,Red,3000
49,John,Goodman,6750
50,Roger,Feynman,5250
51,Henry,Cave,6750
52,John,Goodman,5750
53,John,White,4500
54,John,Red,5750
55,Xico,Cave,4500
56,Henry,Goodman,4250
57,John,Goodman,4500
58,John,White,3750
59,Mike,Red,4500
60,John,White,4500
61,Mike,Cave,5750
62,John,Feynman,3000
63,John,White,5750
64,Henry,Goodman,3000
65,Henry,Red,3750
66,Mike,Red,4500
67,Mike,White,5750
68,Mike,White,6750
69,Henry,Feynman,6750
70,Xico,Cave,3000
71,Xico,White,3000
72,Roger,Red,5750
73,John,White,6750
74,Xico,Red,5750
75,John,Cave,3000
76,Xico,Feynman,6750
77,Henry,Goodman,3000
78,Henry,Feynman,5250
79,John,White,4500
80,Henry,Cave,6750
81,Xico,Feynman,5750
82,Henry,White,6750
83,Xico,Cave,4500
84,Xico,Feynman,3750
85,Henry,White,3750
86,John,Feynman,6750
87,John,White,6750
88,John,Red,5750
89,John,Cave,4500
90,Henry,Cave,6750
91,Henry,Feynman,5750
92,Mike,Cave,5750
93,Roger,Cave,5750
94,Roger,Feynman,4250
95,Mike,Cave,4250
96,John,Cave,5250
97,Xico,Goodman,3750
98,Henry,Feynman,3000
99,Mike,Feynman,5250
100,Mike,White,4250
101,John,Red,4250
102,Roger,White,4500
103,Roger,Red,4500
104,Xico,Feynman,6750
105,Roger,Feynman,4500
106,Xico,Red,4250
107,Mike,Feynman,3000
108,Mike,Red,5750
109,John,Feynman,5250
110,Xico,Red,5750
111,Xico,Goodman,5250
112,Mike,Red,6750
113,Roger,Cave,3000
114,Henry,Goodman,4500
115,Roger,Goodman,4250
116,Henry,White,3000
117,Roger,Goodman,5750
118,Mike,White,3000
119,John,Cave,4500
120,Roger,White,5250
121,Mike,White,6750
122,Henry,Red,6750
123,Roger,Cave,4500
124,Henry,Goodman,5750
125,Xico,White,3750
126,Xico,Feynman,3000
127,Xico,Red,5750
128,John,White,3000
129,John,Red,3750
130,Henry,Red,6750
131,John,Feynman,5750
132,John,Goodman,5750
133,John,White,3000
134,Mike,Goodman,4250
135,Roger,Goodman,4500
136,Henry,Goodman,4500
137,John,White,3000
138,Xico,Goodman,4500
139,Xico,White,5750
140,John,Feynman,4500
141,Roger,Feynman,4500
142,Mike,White,5750
143,Henry,Feynman,5750
144,Roger,White,4500
145,John,Goodman,4500
146,Roger,White,3000
147,Mike,Goodman,3000
148,Roger,White,3000
149,Mike,Red,4500
150,Mike,Feynman,5750
151,John,Feynman,4500
152,Mike,Red,3000
153,John,Feynman,3000
154,Mike,Feynman,6750
155,Henry,Cave,3000
156,Mike,Feynman,5750
157,Xico,White,5750
158,Xico,Red,4250
159,Mike,Red,4500
160,Roger,White,3000
161,Xico,Red,4250
162,Roger,Cave,3000
163,John,Red,3750
164,Xico,Goodman,4500
165,Roger,Goodman,3000
166,Roger,Cave,4500
167,Henry,Cave,4500
168,John,Red,3000
169,Roger,White,3000
170,Roger,Red,3000
171,Henry,Goodman,4250
172,Mike,Feynman,4500
173,John,Goodman,4500
174,Henry,Red,4250
175,Mike,White,3000
176,Henry,Cave,6750
177,Xico,Cave,5750
178,Mike,White,3000
179,Roger,Red,3000
180,Henry,White,5250
181,Roger,Feynman,3750
182,Xico,Red,6750
183,John,White,3000
184,Roger,Cave,4500
185,Xico,Feynman,3000
186,Henry,Feynman,5750
187,John,Goodman,3000
188,John,Feynman,5750
189,Henry,Cave,6750
190,John,White,3000
191,John,Cave,4500
192,Mike,White,5250
193,John,Red,3000
194,John,White,4500
195,Xico,Cave,6750
196,Henry,Cave,5250
197,Xico,Red,4250
198,Mike,Red,5250
199,John,Cave,4500
200,Xico,Feynman,5750
201,John,Goodman,5750
202,Henry,Goodman,5750
203,Mike,Feynman,5750
204,Henry,White,5750
205,John,Goodman,4250
206,Xico,Red,3000
207,John,Red,3750
208,John,White,4250
209,Xico,White,5750
210,Henry,Goodman,6750
211,Xico,Cave,4500
212,John,Red,4500
213,Xico,White,5750
214,Mike,Cave,3750
215,Henry,White,4250
216,John,Red,3000
217,Mike,Feynman,4500
218,Henry,Feynman,3000
219,Roger,Goodman,5750
220,Xico,Goodman,4500
221,Henry,Cave,5750
222,Xico,Cave,3000
223,Roger,White,5250
224,Mike,Red,3750
225,Xico,White,4250
226,Xico,White,4250
227,John,Goodman,5250
228,John,Feynman,3750
229,Roger,White,5750
230,John,Red,4500
231,Mike,Cave,4500
232,John,Cave,5250
233,Xico,Red,3750
234,Xico,Cave,5750
235,Xico,Goodman,4250
236,Henry,Feynman,3000
237,Roger,Goodman,5750
238,Henry,Feynman,4500
239,Mike,Goodman,5750
240,John,Red,5750
241,Mike,Goodman,5250
242,Roger,Cave,5750
243,Henry,Red,4500
244,Henry,Goodman,3750
245,Xico,Red,6750
246,John,Feynman,3000
247,Henry,Goodman,5750
248,John,Red,5750
249,Xico,Feynman,5750
250,Xico,Goodman,4500
251,Henry,White,4250
252,Mike,Cave,4250
253,Roger,White,6750
254,Roger,Cave,5750
255,Henry,White,5750
256,Mike,Red,5750
257,John,Cave,5750
258,Xico,Red,5750
259,John,Red,5750
260,Henry,Red,6750
261,Xico,White,3000
262,Mike,Feynman,4500
263,Xico,White,3000
264,Xico,White,3000
265,Xico,Red,3000
266,Roger,Feynman,5250
267,Roger,Cave,6750
268,Mike,Feynman,3000
269,John,Cave,5750
270,Henry,Red,4250
271,John,Feynman,3750
272,John,Goodman,4500
273,Xico,Feynman,3000
274,Xico,Goodman,4250
275,Xico,Cave,3750
276,Mike,Goodman,4250
277,Roger,Cave,6750
278,Roger,Red,4500
279,Roger,Cave,5750
280,Mike,Red,4250
281,Mike,Red,4500
282,Roger,Feynman,5750
283,Mike,White,5750
284,Xico,White,3750
285,Mike,Red,3000
286,Roger,Red,6750
287,Henry,Red,5750
288,Henry,Goodman,3000
289,Roger,Feynman,4500
290,Henry,Red,3000
291,Xico,White,4500
292,Xico,Red,3000
293,Henry,Feynman,5750
294,John,Red,5750
295,Henry,Goodman,4500
296,Mike,Goodman,5750
297,Mike,Goodman,3000
298,Mike,Goodman,4500
299,Roger,Feynman,5750
300,Xico,Cave,5250
301,Roger,White,4250
302,Henry,White,4500
303,Henry,Red,4250
304,John,White,5750
305,Henry,Feynman,4500
306,Roger,Feynman,3000
307,Roger,Red,3000
308,Roger,White,6750
309,Roger,Goodman,4500
310,Henry,White,5750
311,John,Feynman,4500
312,Henry,White,6750
313,Xico,Feynman,4500
314,John,Cave,4250
315,John,White,5750
316,Mike,Feynman,5750
317,Xico,White,3000
318,Roger,White,4500
319,Xico,White,6750
